StringTime,DoubleTime,kW L1,kW L2,kW L3,E1,E2,E3,dE1,dE2,dE3
09/24/21  08:56:05.428   ,1632473765428.0,0.205,0.317,0.576,1091.3919999999891,7059.126000000015,4503.862000000017,12.626999999998361,20.43800000000374,35.52300000000287
09/24/21  08:57:06.441   ,1632473826441.0,0.214,0.382,0.545,1104.359999999988,7079.897000000014,4538.1570000000165,12.967999999998938,20.77099999999882,34.29499999999916
09/24/21  08:58:07.435   ,1632473887435.0,0.217,2.248,0.67,1117.583999999988,7198.845000000009,4576.0050000000165,13.223999999999933,118.94799999999577,37.847999999999956
09/24/21  08:59:07.520   ,1632473947520.0,0.218,2.236,0.75,1130.6769999999906,7333.307000000007,4618.795000000015,13.093000000002576,134.46199999999772,42.789999999998145
09/24/21  09:00:08.442   ,1632474008442.0,0.221,2.242,0.804,1144.065999999993,7470.121000000007,4666.43600000002,13.389000000002397,136.8140000000003,47.64100000000508
09/24/21  09:01:09.433   ,1632474069433.0,0.222,2.237,0.864,1157.4939999999945,7606.499000000009,4717.25400000002,13.428000000001475,136.37800000000152,50.81800000000021
09/24/21  09:02:10.420   ,1632474130420.0,0.219,2.238,1.012,1170.9119999999962,7743.103000000004,4771.310000000018,13.418000000001712,136.6039999999948,54.055999999997766
09/24/21  09:03:11.474   ,1632474191474.0,0.22,2.228,0.579,1184.3399999999976,7879.447000000003,4811.980000000016,13.428000000001475,136.34399999999914,40.669999999998254
09/24/21  09:04:12.414   ,1632474252414.0,0.219,2.25,0.587,1197.7509999999995,8016.243000000006,4847.175000000014,13.411000000001877,136.796000000003,35.19499999999789
09/24/21  09:05:13.440   ,1632474313440.0,0.219,2.242,0.583,1211.1730000000011,8153.049000000006,4882.823000000013,13.422000000001617,136.8060000000005,35.64799999999923
09/24/21  09:06:14.413   ,1632474374413.0,0.22,2.239,0.517,1224.581000000003,8289.619,4917.591000000016,13.408000000001948,136.56999999999425,34.76800000000276
09/24/21  09:07:15.437   ,1632474435437.0,0.22,2.226,0.659,1237.9580000000055,8425.619000000006,4954.354000000017,13.377000000002454,136.00000000000546,36.76300000000083
09/24/21  09:08:16.413   ,1632474496413.0,0.218,2.152,0.737,1251.320000000008,8559.65400000001,4997.218000000013,13.362000000002354,134.0350000000035,42.86399999999594
09/24/21  09:09:17.410   ,1632474557410.0,0.22,2.653,0.807,1264.657000000011,8708.149000000009,5044.470000000012,13.337000000003172,148.49499999999898,47.2519999999995
09/24/21  09:10:18.420   ,1632474618420.0,0.3,2.651,0.847,1282.6900000000117,8870.56800000001,5094.7220000000125,18.033000000000584,162.4190000000017,50.25200000000041
09/24/21  09:11:19.467   ,1632474679467.0,0.327,2.665,0.902,1305.493000000012,9032.65900000002,5148.287000000017,22.80300000000034,162.09100000000944,53.56500000000415
09/24/21  09:12:20.478   ,1632474740478.0,0.328,2.641,0.577,1325.7780000000128,9194.59700000002,5189.18100000002,20.285000000000764,161.9380000000001,40.89400000000296
09/24/21  09:13:21.430   ,1632474801430.0,0.329,0.793,0.591,1345.8080000000132,9340.966000000022,5221.497000000022,20.030000000000427,146.36900000000242,32.31600000000253
09/24/21  09:14:22.430   ,1632474862430.0,0.302,0.751,0.581,1364.8590000000129,9387.109000000026,5257.369000000023,19.050999999999704,46.14300000000367,35.87200000000121
09/24/21  09:15:23.432   ,1632474923432.0,0.3,0.74,0.519,1383.9710000000123,9431.89700000003,5292.291000000025,19.111999999999398,44.788000000004104,34.92200000000139
09/24/21  09:16:23.458   ,1632474983458.0,0.336,0.75,0.662,1402.4000000000126,9476.478000000023,5328.438000000024,18.429000000000315,44.580999999992855,36.146999999999025
09/24/21  09:17:24.427   ,1632475044427.0,0.295,0.764,0.742,1421.050000000013,9522.858000000017,5371.511000000026,18.65000000000032,46.37999999999374,43.07300000000214
09/24/21  09:18:25.430   ,1632475105430.0,0.28,2.158,0.807,1439.2860000000126,9562.136000000008,5418.980000000027,18.23599999999965,39.27799999999115,47.46900000000096
09/24/21  09:19:11.453   ,1632475151453.0,0.305,0.312,0.857,1452.541000000012,9587.122000000003,5456.9120000000285,13.254999999999427,24.98599999999533,37.93200000000161
